Time (s),Pos X (m),Pos Y (m),Displacement (m),Distance (m),Vel X (m/s),Vel Y (m/s),Speed (m/s),Acc X (m/s²),Acc Y (m/s²),Accel Mag (m/s²)
0.0335,-0.0003,0.0234,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.067,0.0023,0.0238,0.024,0.0026,0.0,0.0,0.0,0.0,0.0,0.0
0.1005,-0.0002,0.0229,0.0229,0.0053,-0.1501,-0.048,0.1576,-4.5263,-1.2125,4.6859
0.134,0.0018,0.0238,0.0239,0.0075,-0.0024,0.0122,0.0124,-0.2713,0.2211,0.35
0.1675,0.0034,0.0236,0.0238,0.0091,0.042,0.0045,0.0422,0.3194,0.0539,0.3239
0.201,-0.0002,0.0234,0.0234,0.0127,-0.0334,-0.0004,0.0334,-0.4587,-0.0071,0.4588
0.2346,0.0036,0.0233,0.0235,0.0165,0.0107,-0.0039,0.0114,-0.0039,-0.0315,0.0317
0.2681,0.0029,0.023,0.0232,0.0172,0.01,-0.0065,0.0119,-0.0079,-0.0417,0.0425
0.3016,0.0028,0.0234,0.0236,0.0176,0.0054,-0.0023,0.0059,-0.0329,-0.0094,0.0342
0.3351,0.0045,0.0233,0.0238,0.0194,0.0151,-0.0012,0.0152,0.0235,-0.0016,0.0236
0.3686,0.0035,0.0231,0.0233,0.0204,0.0094,-0.0021,0.0097,-0.0071,-0.0057,0.0091
0.4021,0.0052,0.0226,0.0232,0.0222,0.0206,-0.0043,0.021,0.059,-0.0132,0.0604
0.4356,0.0051,0.0224,0.023,0.0224,0.0119,-0.0089,0.0149,-0.0082,-0.0391,0.0399
0.4691,0.0057,0.0226,0.0233,0.0231,0.0198,-0.0048,0.0203,0.0463,-0.0072,0.0469
0.5026,0.005,0.0226,0.0231,0.0239,0.0117,-0.0043,0.0124,0.0021,-0.0065,0.0068
0.5361,0.0056,0.0223,0.023,0.0246,-0.0021,-0.0046,0.0051,-0.0915,-0.0077,0.0919
0.5696,0.0054,0.0218,0.0225,0.0252,0.004,-0.007,0.0081,-0.0261,-0.0184,0.0319
0.6031,0.0051,0.0215,0.0222,0.0255,-0.0065,-0.0085,0.0107,-0.0856,-0.022,0.0884
0.6367,0.0057,0.0211,0.0219,0.0262,-0.0068,-0.0088,0.0111,-0.0788,-0.0158,0.0804
0.6702,0.0052,0.0228,0.0234,0.0279,-0.0054,0.0021,0.0058,-0.0527,0.0368,0.0643
0.7037,0.0042,0.0224,0.0227,0.029,-0.0155,0.0053,0.0164,-0.0999,0.0474,0.1106
0.7372,0.0049,0.0226,0.0231,0.0298,-0.0078,0.008,0.0111,-0.0373,0.0533,0.0651
0.7707,0.0036,0.0224,0.0227,0.0312,-0.0146,0.0087,0.017,-0.065,0.0523,0.0834
